Industry,Prediction_Score,Current_Share,Next_Share,Return_%
Semiconductors,0.04657580098163724,0.3899673235060835,0.3691382094928356,-5.341245985940397
Computers & Peripherals,0.021874119515323066,0.1765606259551375,0.1561605605893219,-11.554141958580885
Others,0.00840705229299543,0.0732406098522957,0.0794457262297401,8.472234720544035
Leisure & Entertainment,0.0068717999625901305,0.0220207318702095,0.0452711997970027,105.58444680145864
Metaverse,0.0027238095467192096,0.0073147237453847,0.0133031004873397,81.86743546854287
Transportation & Shipping,0.0012672969296905895,0.0545309354813794,0.0669379533050183,22.752255603382242
Blockchain,0.00060564176240093,0.0003547221228714,0.0012671150688342,257.21343190471845
Regenerative Medicine,0.00046266137700881995,0.0014866206107126,0.0008250037524668,-44.50475484317813
Wind Power,0.00015028302233408,7.12139031243908e-05,0.0002439364678396,242.540511244709
Construction & Building Materials,0.00011432364216483948,0.0220757293197077,0.0350688386396601,58.856987833933275
