chinese_name,english_name
LED照明產業,LED Lighting
交通運輸及航運,Transportation & Shipping
人工智慧,Artificial Intelligence
休閒娛樂,Leisure & Entertainment
元宇宙,Metaverse
其他,Others
再生醫療,Regenerative Medicine
區塊鏈,Blockchain
半導體,Semiconductors
博弈,Gaming (Gambling)
國防與航太,Defense & Aerospace
塑膠,Plastics
居家生活,Home & Living
工業電腦,Industrial PC
建材營造,Construction & Building Materials
影視音及數位內容,Media & Digital Content
微機電系統,MEMS (Micro-Electro-Mechanical Systems)
手機,Mobile Phones
數位雲端,Digital Cloud
智慧家庭,Smart Home
智慧製造,Smart Manufacturing
智慧醫療,Smart Healthcare
智慧電網,Smart Grid
服務業,Service Industry
機器人,Robotics
汽車,Automotive
清潔用品,Cleaning Supplies
溫度感測,Temperature Sensing
濕製程設備,Wet-Process Equipment
照明,Lighting
生技醫療,Biotech & Healthcare
電動車,Electric Vehicles
電腦及週邊設備,Computers & Peripherals
電子商務,E-commerce
電子零組件,Electronic Components
電路板,Circuit Boards
電網,Power Grid
電機,Electrical Machinery
面膜,Facial Masks
風力發電,Wind Power
食品,Food
高爾夫球,Golf
第三方支付,Third-Party Payment
不斷電系統,UPS (Uninterruptible Power Supply)
云端運算,Cloud Computing
印刷電路板,PCB (Printed Circuit Boards)
太陽能,Solar Power
